Name,Timestamp,type,OS,challenge name,Mountain,score,Points
SYNO,2020-11-20 8:15:38,Time trial,iOS,Gemsgully Whites,Waldtal,31.41,10899
Shadow,2020-11-24 15:11:17,Time trial,iOS,Gemsgully Whites,Waldtal,31.19,13099
Skier50,2021-03-29 15:36:24,Time trial,iOS,Gemsgully Whites,Waldtal,31.29,12100
Susannah,9/28/2021 17:13:57,Time trial,Android,Gemsgully Whites,Waldtal,31.71,8122
Timmy,2020-12-06 15:59:46,Time trial,Android,Gemsgully Whites,Waldtal,31.93,6532
eFrostyy,2021-02-12 16:21:56,Time trial,Android,Gemsgully Whites,Waldtal,31.66,8534
gonnik,2020-05-03 7:03:36,Time trial,Android,Gemsgully Whites,Waldtal,32.04,5858
hschindele,2020-11-14 21:06:12,Time trial,iOS,Gemsgully Whites,Waldtal,30.96,15399
massiv97,2021-01-02 15:47:02,Time trial,Android,Gemsgully Whites,Waldtal,31.41,10899
Avel,2021-03-27 5:56:12,Time trial,iOS,Peak To Valley Run,Waldtal,50.82,11799
BouncyJello,2020-02-17 17:08:06,Time trial,Android,Peak To Valley Run,Waldtal,50.46,15399
Chesty,2020-11-19 20:20:06,Time trial,iOS,Peak To Valley Run,Waldtal,51.17,9539
Fenrir,2021-01-10 18:48:28,Time trial,Android,Peak To Valley Run,Waldtal,52.96,5807
Gjeep302,2021-01-15 20:36:30,Time trial,Android,Peak To Valley Run,Waldtal,50.17,18299
Jamiemac,2021-03-19 15:25:35,Time trial,Android,Peak To Valley Run,Waldtal,49.81,21899
LC43,2020-02-25 11:09:07,Time trial,Android,Peak To Valley Run,Waldtal,51.19,9486
Mountain_Greg,2021-03-11 6:10:19,Time trial,Android,Peak To Valley Run,Waldtal,49.92,20799
Pinsek,2021-03-07 15:14:30,Time trial,Android,Peak To Valley Run,Waldtal,50.56,14399
Ryan Monty,2021-04-08 12:20:23,Time trial,Android,Peak To Valley Run,Waldtal,49.87,21300
SYNO,2021-03-04 14:46:48,Time trial,iOS,Peak To Valley Run,Waldtal,50.47,15300
Skier50,2021-02-23 14:12:08,Time trial,iOS,Peak To Valley Run,Waldtal,50.66,13400
eFrostyy,2021-02-12 16:22:24,Time trial,Android,Peak To Valley Run,Waldtal,51.52,8657
hschindele,2020-12-19 12:31:58,Time trial,iOS,Peak To Valley Run,Waldtal,49.3,27000
massiv97,2021-02-10 15:00:31,Time trial,Android,Peak To Valley Run,Waldtal,50.45,15499
Avel,2021-02-25 7:45:10,Time trial,iOS,Selme Narrows,Waldtal,37.39,11099
BouncyJello,2020-11-19 23:16:54,Time trial,Android,Selme Narrows,Waldtal,37.27,12299
Fenrir,2021-01-10 18:49:49,Time trial,Android,Selme Narrows,Waldtal,38.3,7578
Gjeep302,2021-01-15 20:15:33,Time trial,Android,Selme Narrows,Waldtal,37.32,11799
Jamiemac,2021-04-08 17:52:58,Time trial,Android,Selme Narrows,Waldtal,36.95,15499
Mountain_Greg,2021-01-21 13:56:43,Time trial,Android,Selme Narrows,Waldtal,37.26,12400
Pinsek,2021-03-07 15:26:09,Time trial,Android,Selme Narrows,Waldtal,37.28,12199
Ryan Monty,2021-04-08 23:20:06,Time trial,Android,Selme Narrows,Waldtal,37.13,13699
SYNO,2020-11-20 8:35:22,Time trial,iOS,Selme Narrows,Waldtal,37.45,10499
Shadow,2020-11-24 14:53:40,Time trial,iOS,Selme Narrows,Waldtal,37.46,10399
Skier50,2021-03-31 6:14:30,Time trial,iOS,Selme Narrows,Waldtal,37.35,11499
